Item,item type,Description
5” K-STYLE GUTTER SYSTEM,Gutters,"Maximum Water Management and Aesthetic Value. This is RHIVE's standard gutter solution, engineered for optimal drainage and curb appeal. This seamless K-Style system provides high capacity for residential roof areas, protecting your foundation and landscaping while blending seamlessly with your fascia line.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - covers all repairs for leaks caused by improper original installation of the gutter segments and end caps.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (5” K-Style): Heavy-gauge, continuous 5-inch K-Style aluminum trough, custom-formed on-site to minimize seams and maximize water flow capacity.
DOWN SPOUT (2” x 3” Standard): Standard 2x3-inch downspouts installed to optimize vertical water discharge and direct water safely away from the foundation.
FASTENERS & HANGERS: Heavy-duty, hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and defense against heavy snow and ice loads.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
6” K-STYLE GUTTER SYSTEM,Gutters,"Commercial Capacity & Ultimate Protection. This is RHIVE's high-capacity gutter solution, engineered specifically for large roof areas, complex drainage, and heavy rainfall zones. This seamless K-Style system features a 6-inch trough and large downspouts to manage maximum water volume, protecting structural integrity and foundation.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - covers all repairs for leaks caused by improper original installation of the gutter segments and end caps.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (6” K-Style): Heavy-gauge, continuous 6-inch K-Style aluminum trough, custom-formed on-site to minimize seams and provide superior water flow capacity for commercial or large residential applications.
DOWN SPOUT (3” x 4” High-Capacity): High-capacity 3x4-inch downspouts installed to optimize vertical water discharge and direct high volumes of water safely away from the foundation.
FASTENERS & HANGERS: Heavy-duty, hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and defense against heavy snow and ice loads.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact."
5” ROUND-STYLE GUTTER SYSTEM,Gutters,"Modern Aesthetic & Efficient Flow. This is RHIVE's designer gutter solution, engineered for homes prioritizing a unique, European-style aesthetic. The semi-circular profile ensures highly efficient water flow and easy self-cleaning while providing a distinctive curb appeal.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - Covers all repairs for leaks caused directly by RHIVE's installation workmanship.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (5” Round-Style): Heavy-gauge, continuous 5-inch semi-circular aluminum trough, custom-formed on-site to minimize seams and provide highly efficient, self-cleaning water flow.
DOWN SPOUT (3” Round Standard): Standard 3-inch round downspouts installed to match the aesthetic and optimize vertical water discharge away from the foundation.
FASTENERS & HANGERS: Heavy-duty, exposed band-style hangers or hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and modern appearance.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
6” ROUND-STYLE GUTTER SYSTEM,Gutters,"Designer Capacity & Ultimate Flow. This is RHIVE's high-capacity, specialized gutter solution. The 6-inch semi-circular profile is engineered for large roof areas and commercial applications requiring both maximum drainage capacity and a distinct, modern architectural finish.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - Covers all repairs for leaks caused directly by RHIVE's installation workmanship.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (6” Round-Style): Heavy-gauge, continuous 6-inch semi-circular aluminum trough, custom-formed on-site to minimize seams and provide superior flow capacity for high-volume drainage.
DOWN SPOUT (4” Round High-Capacity): High-capacity 4-inch round downspouts installed to match the aesthetic and optimize vertical water discharge away from the foundation.
FASTENERS & HANGERS: Heavy-duty, exposed band-style hangers or hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and modern appearance.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
5” BOX/SQUARE-STYLE GUTTER SYSTEM,Gutters,"Clean Lines & Architectural Integration. This is RHIVE's standard architectural gutter solution, featuring a sleek, square/box profile ideal for contemporary or mid-century modern homes. This system integrates seamlessly with the roofline, providing efficient capacity with a minimal, deliberate aesthetic.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - Covers all repairs for leaks caused directly by RHIVE's installation workmanship.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (5” Box/Square-Style): Heavy-gauge, continuous 5-inch box/square profile aluminum trough, custom-formed on-site to minimize seams and maximize water flow capacity with a flat, modern face.
DOWN SPOUT (2” x 3” Standard): Standard 2x3-inch rectangular downspouts installed to match the modern lines and optimize vertical water discharge away from the foundation.
FASTENERS & HANGERS: Heavy-duty, hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and clean, continuous lines.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
6” BOX/SQUARE-STYLE GUTTER SYSTEM,Gutters,"Architectural Capacity & Ultimate Integration. This is RHIVE's high-capacity architectural solution, engineered for commercial or high-end residential projects that demand maximum drainage capacity combined with an elite, contemporary box aesthetic.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Leak Gutter Guarantee - Covers all repairs for leaks caused directly by RHIVE's installation workmanship.
MATERIALS WARRANTY: 20-Year Manufacturer Warranty against peeling, cracking, or blistering of the aluminum finish.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard. RHIVE will only substitute materials with those of the same kind and quality as outlined in the NOTE ON SUBSTITUTIONS below.
GUTTER TROUGH (6” Box/Square-Style): Heavy-gauge, continuous 6-inch box/square profile aluminum trough, custom-formed on-site to minimize seams and provide superior flow capacity for commercial drainage while maintaining clean architectural lines.
DOWN SPOUT (3” x 4” High-Capacity): High-capacity 3x4-inch rectangular downspouts installed to match the box aesthetic and optimize vertical water discharge away from the foundation.
FASTENERS & HANGERS: Heavy-duty, hidden screw-in hangers are installed every 24 inches (exceeding standard 30-inch spacing) for superior structural integrity and defense against heavy snow and ice loads.
SEALANT: Commercial-grade, UV-stable gutter sealant is applied to all joints, end caps, and outlets, ensuring a permanent, watertight seal that resists thermal movement.
END CAPS & OUTLETS: Custom end caps and drain outlets are sealed and installed at optimal locations to ensure all water is collected and channeled effectively.
FINAL PITCH & ALIGNMENT: The gutter system is installed with the required pitch (slope) to ensure water flows efficiently toward the downspouts, preventing standing water and debris buildup.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
HEAT TRACE - ICE MANAGEMENT SYSTEM,Heat Trace,"Proactive Ice Defense & Structural Protection. This system is engineered to actively prevent the formation of destructive ice dams and heavy icicles along your roof eaves and valleys. By maintaining a clear channel for water runoff, this solution eliminates moisture intrusion and protects the structural integrity of your roofline and gutters.
RHIVE CORE COMMITMENT & GUARANTEE
INSTALLATION WARRANTY: RHIVE No-Fail System Guarantee - Covers the complete system installation, connectivity, and performance for 2 years (excluding failure due to power surge or damage from external forces).
MATERIALS WARRANTY: 10-Year Manufacturer Warranty on the cable element against mechanical failure.
EXECUTION BLUEPRINT & MATERIALS
RHIVE QUALITY STANDARD: All components listed below define the minimum material standard.
HEAT TRACE CABLE: High-efficiency, commercial-grade, self-regulating heat cable (5W per linear foot, 110V rated). This advanced technology automatically adjusts heat output based on the ambient temperature, ensuring maximum energy efficiency and safety.
CONTROL SYSTEM: Includes a built-in thermostat that senses the required temperature range (typically 35°F to 45°F) and activates the system only when freezing conditions are present and precipitation is occurring, minimizing energy waste.
INSTALLATION: The cable is installed using non-corrosive fasteners and clips (e.g., copper/aluminum clips) in a cascading pattern (or custom pattern) that extends from the gutter line up the roof edge and valleys, ensuring a clear path for meltwater.
ELECTRICAL CONNECTIVITY: The system is connected to the nearest code-compliant, exterior outlet. Hard-wired connection to a dedicated junction box is provided only when explicitly added to the project scope.
SYSTEM TESTING: Full electrical load and temperature activation testing is performed upon installation to verify the system's operational integrity.
RHIVE QUALITY STANDARDS & NOTES
NOTE ON SUBSTITUTIONS: RHIVE Construction may substitute materials with those of the same kind and quality only if the specified material is unavailable and will ensure all manufacturer warranty requirements remain fully intact.
"
ROOFLINE VEGETATION MANAGEMENT ,Roof Detail,"Strategic Structural Protection and Warranty Compliance. We safely cut and clear all vegetation (branches, vines, brush) that touches or overhangs your roof, fascia, or gutters. This service is a critical, proactive measure that stops the most common causes of premature roof failure.
The RHIVE Clearance Zone
We achieve system defense through two core actions:
12-Inch Compliance Zone: We create a minimum 12-inch clearance zone by trimming intrusive vegetation. This is the structural standard necessary to protect your roof membrane from physical abrasion, prevent moisture retention, and keep your manufacturer warranty fully intact across all major brands.
Debris & Water Stop: Eliminating overhang directly stops the continuous drop of leaves, pine needles, and sticks onto your roof, preventing debris accumulation that traps water and accelerates shingle degradation.
Execution Blueprint
This service is focused purely on cutting and structural clearance.
VEGETATION REMOVAL: Precise removal of tree limbs, brush, and vines to achieve the 12-Inch Compliance Zone.
DOCUMENTATION INSPECTION: We will document the condition of the roof surface underneath any previously obscured vegetation. If underlying damage (abrasion, rot, or moisture) is found, the project owner will be updated with clear photo evidence before any repair work is estimated.
DEBRIS DISPOSAL: All cut vegetation, branches, and large trimming debris are responsibly disposed of.
"
PIPE FLASHING REPLACEMENT,Repair,"Critical Penetration Defense Upgrade. This specialized service focuses on replacing degraded pipe flashings (pipe jacks/vents) with high-performance components and sealing them with superior materials. We eliminate common leak points, ensuring a permanent, water-tight seal designed for extreme longevity.
The RHIVE Quantum Defense Protocol
Service Scope: Full replacement of existing, failing pipe boots/jacks, restoration of shingle integrity around the penetration, and application of a long-term sealant. This is a permanent repair for a critical leak vulnerability.
Component Upgrade: Installation of Full Metal Pipe Jacks (painted to match the roof or adjacent flashing). These replace common plastic, lead, or neoprene versions that degrade rapidly under UV exposure.
Pipe Jack Installation: The new metal jack is correctly set and secured, ensuring the flashing is integrated seamlessly with the surrounding shingles for proper water shedding.
Execution Blueprint
UV-Rated Sealant Application: Application of a high-performance, Clear UV-Rated Sealant around the base of the new pipe collar and the pipe. This flexible material is designed for long-term maintenance.
Oxidation & UV Defense (Painting): The new metal pipe jack and boot sealant are fully painted with a protective coating to shield the metal from oxidation (rust) and the sealant from early UV degradation, ensuring maximum service life.
Shingle Restoration: Any disturbed or damaged shingles immediately adjacent to the penetration are secured, sealed, or replaced to guarantee a continuous water-tight roofing plane.
"
SHINGLE REPAIR & REPLACEMENT,Repair,"Surgical Repair & Water-Shedding Integrity. This service provides a permanent solution for localized shingle damage. We surgically replace missing, cracked, or compromised shingles to restore your roof's critical water-shedding integrity and seamlessly integrate the repair with the existing roof structure.

The RHIVE System-Restore Protocol
Targeted Removal: A surgical removal of only the failed shingles and any compromised adjacent materials is performed to preserve the integrity of the surrounding roof plane.
Material Sourcing & Color Variance Acknowledgment: We source the closest possible match for your existing shingles. However, an exact color match is impossible. This is due to the natural weathering and UV exposure of the existing shingles, combined with unavoidable variations in manufacturer dye lots. This initial color variance is a standard and unavoidable characteristic of any targeted roof repair.
Integrated Weatherproof Bond: A monolithic, weatherproof bond is created through proper nailing and manual sealing, fully integrating the repair into the roof system to resist all future weather conditions.

Execution Blueprint
DAMAGE ASSESSMENT: We inspect the affected area to identify any potential underlying decking damage and define the precise scope required for a permanent repair.
PRECISION INSTALLATION: New shingles are installed with the correct offset and exposure, secured with 6 nails per shingle for maximum wind resistance and system integrity.
FINAL SEALING: A continuous bead of asphalt roof cement is applied to all new and disturbed shingle edges. This critical final step creates an immediate, permanent, water-tight bond that defends against both moisture intrusion and future wind uplift.
"
